Issue Type,Summary,Description,Priority,Labels,Sprint,Story Points,Epic Link
"Story,Login JWT multi-tenant,""Emitir JWT con user_id tenant_id roles. 401 sin token y 403 tenant inconsistente."",Highest,agro-erp;backend,Sprint 1,5,REEMPLAZAR_KEY_EPIC_SEGURIDAD"
"Story,Middleware de permisos por rol,""Aplicar permisos funcionales en endpoints y cubrir casos permitido-denegado con tests."",Highest,agro-erp;backend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_SEGURIDAD"
"Story,Scope por campana establecimiento lote,""Aplicar data_access_scope en consultas y devolver 403 forbidden_scope fuera de alcance."",Highest,agro-erp;backend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_SEGURIDAD"
"Story,Auditoria automatica tablas criticas,""Trigger de auditoria con before-after actor tabla accion y timestamp."",High,agro-erp;backend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_SEGURIDAD"
"Story,Selector global campana establecimiento,""Selector persistente en header que refresca datos de todos los modulos."",Highest,agro-erp;frontend,Sprint 1,5,REEMPLAZAR_KEY_EPIC_OPERACIONES"
"Story,API de contexto productivo,""Endpoints de campanas establecimientos lotes y lote-campana con filtros y paginacion."",Highest,agro-erp;backend,Sprint 1,5,REEMPLAZAR_KEY_EPIC_OPERACIONES"
"Story,Crear ordenes de trabajo,""Alta de OT por labor fecha y hectareas con estado open in_progress closed."",Highest,agro-erp;backend,Sprint 1,5,REEMPLAZAR_KEY_EPIC_OPERACIONES"
"Story,Registrar ejecucion de labor y consumos,""Guardar ejecucion real horas y consumo de insumos. Publicar evento outbox."",Highest,agro-erp;backend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_OPERACIONES"
"Story,Condiciones legales de aplicacion,""Registrar viento temperatura HR inversion termica en labores fitosanitarias."",Highest,agro-erp;backend,Sprint 1,5,REEMPLAZAR_KEY_EPIC_OPERACIONES"
"Story,UI operaciones de campo,""Pantallas para crear OT y registrar ejecucion con validaciones de negocio."",High,agro-erp;frontend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_OPERACIONES"
"Story,Gestion de stock y movimientos,""Movimientos in out adjustment transfer y stock on hand actualizado."",High,agro-erp;backend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_INVENTARIO"
"Story,Ciclo OC recepcion factura basico,""Crear OC con lineas, recepcion parcial-total y relacion con factura."",High,agro-erp;backend,Sprint 1,8,REEMPLAZAR_KEY_EPIC_INVENTARIO"
"Story,Vistas KPI lote-campana,""Vistas de costo operativo rinde y margen por plot_season."",High,agro-erp;data,Sprint 1,5,REEMPLAZAR_KEY_EPIC_INVENTARIO"
"Story,Visor GIS multicapa,""Visualizar limites de lote y zonas de manejo con capas activables."",Highest,agro-erp;frontend;gis,Sprint 2,8,REEMPLAZAR_KEY_EPIC_PRECISION"
"Story,API geo boundaries y management zones,""Entregar geometria vigente y ambientes por lote campana en GeoJSON."",Highest,agro-erp;backend;gis,Sprint 2,5,REEMPLAZAR_KEY_EPIC_PRECISION"
"Story,Serie satelital NDVI NDRE EVI,""Consulta temporal por lote con deteccion basica de anomalias."",High,agro-erp;data;gis,Sprint 2,8,REEMPLAZAR_KEY_EPIC_PRECISION"
"Story,Carga y limpieza de mapas de rinde,""Registrar upload aplicar ruleset default y devolver resumen de calidad."",Highest,agro-erp;data;gis,Sprint 2,8,REEMPLAZAR_KEY_EPIC_PRECISION"
"Story,Prescripciones variables y export,""Crear zonas con target rate validar min-max y exportar ISOXML y SHP."",Highest,agro-erp;backend;gis,Sprint 2,8,REEMPLAZAR_KEY_EPIC_PRECISION"
"Story,Ingesta bulk telemetria,""Endpoint asinc para eventos de maquinaria con validacion temporal."",High,agro-erp;backend;timeseries,Sprint 2,8,REEMPLAZAR_KEY_EPIC_ANALITICA"
"Story,Ingesta bulk clima,""Endpoint bulk para observaciones meteo por estacion."",Medium,agro-erp;backend;timeseries,Sprint 2,5,REEMPLAZAR_KEY_EPIC_ANALITICA"
"Story,Particionado mensual series temporales,""Migrar telemetria y clima a particiones por mes con funcion de auto-creacion."",High,agro-erp;data;timeseries,Sprint 2,8,REEMPLAZAR_KEY_EPIC_ANALITICA"
"Story,Dashboard KPI por rol,""Owner agronomo y admin con vistas de KPIs y filtros de contexto."",High,agro-erp;frontend;analytics,Sprint 2,8,REEMPLAZAR_KEY_EPIC_ANALITICA"
"Story,QA E2E regresion y smoke,""Ejecutar 10 flujos criticos y cerrar defectos P1-P2."",Highest,agro-erp;qa,Sprint 2,8,REEMPLAZAR_KEY_EPIC_GOLIVE"
"Story,Guion demo comercial tecnico,""Guion de 20-30 min con datos congelados y ensayo x3."",Highest,agro-erp;product,Sprint 2,3,REEMPLAZAR_KEY_EPIC_GOLIVE"
"Story,Observabilidad minima para demo,""Logs estructurados metricas de latencia y error rate basico."",High,agro-erp;devops,Sprint 2,5,REEMPLAZAR_KEY_EPIC_GOLIVE"
"Task,Generar y publicar OpenAPI 3.0,""Consolidar endpoints y esquemas para generar SDK frontend."",High,agro-erp;backend,Sprint 1,3,REEMPLAZAR_KEY_EPIC_SEGURIDAD"
"Task,Configurar pipeline CI de tests API,""Ejecutar tests de integracion en cada merge request."",High,agro-erp;devops,Sprint 1,3,REEMPLAZAR_KEY_EPIC_SEGURIDAD"
"Task,Cargar seed demo y ejecutar QA SQL,""Sembrar dataset demo y validar integridad post-migracion."",High,agro-erp;data;qa,Sprint 2,3,REEMPLAZAR_KEY_EPIC_GOLIVE"
